Company Name,Overall Rating,Number of Reviews,Highly Rated %,Critical Rated %,About
Infosys BPM,3.5,(11.7k),Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO | Bangalore / Bengaluru +96 other locations
DXC Technology,3.6,(11.8k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +132 other locations
HDFC Life,3.9,(11.7k),"Job Security, Skill Development / Learning",,Insurance | Mumbai +701 other locations
Bandhan Bank,3.7,(10.7k),"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,Banking | Kolkata +996 other locations
Mphasis,3.3,(10k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Bangalore / Bengaluru +63 other locations
Conneqt Business Solutions,3.5,(10k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | Hyderabad / Secunderabad +266 other locations
Yes Bank,3.6,(9.9k),"Job Security, Promotions / Appraisal, Company Culture",,Banking | Mumbai +540 other locations
Tata Steel,4.0,(9.7k),"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Iron & Steel | Jamshedpur +229 other locations
Quess,3.8,(9.5k),"Promotions / Appraisal, Job Security",,Recruitment | Bangalore / Bengaluru +742 other locations
Maruti Suzuki,4.2,(9.4k),"Job Security, Salary & Benefits, Company Culture",,Automobile | Gurgaon / Gurugram +450 other locations
Asian Paints,4.0,(9.3k),"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,Chemicals | Mumbai +550 other locations
Startek,3.1,(9.3k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,BPO | Bangalore / Bengaluru +105 other locations
UltraTech Cement,4.1,(9.2k),"Job Security, Skill Development / Learning, Company Culture",,Building Material | Mumbai +536 other locations
Paytm,3.2,(9.2k),"Job Security, Promotions / Appraisal, Company Culture",,FinTech | Noida +417 other locations
Shriram Finance,4.0,(8.9k),"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,NBFC | Chennai +1108 other locations
Bajaj Finance,3.9,(8.9k),"Salary & Benefits, Skill Development / Learning, Job Security",,NBFC | Pune +972 other locations
Sutherland Global Services,3.4,(8.8k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | Chennai +82 other locations
Equitas Small Finance Bank,4.4,(8.8k),"Company Culture, Work Life Balance, Job Security",,Banking | Chennai +480 other locations
EXL Service,3.6,(8.4k),Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Analytics & KPO | Noida +61 other locations
Cipla,4.1,(8.4k),"Salary & Benefits, Work Life Balance, Skill Development / Learning",,Pharma | Mumbai +292 other locations
Ericsson,3.9,(8.3k),"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Telecom | Noida +163 other locations
Wells Fargo,3.7,(8.3k),Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Financial Services | Bangalore / Bengaluru +27 other locations
Samsung,3.9,(8.3k),"Work Life Balance, Salary & Benefits",Promotions / Appraisal,Consumer Electronics & Appliances | Noida +582 other locations
Dr. Reddy's,4.0,(8.1k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Pharma | Hyderabad / Secunderabad +215 other locations
Optum Global Solutions,4.0,(7.7k),"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting | Hyderabad / Secunderabad +68 other locations
Delhivery,3.8,(7.6k),Promotions / Appraisal,,Logistics | Gurgaon / Gurugram +754 other locations
ICICI Prudential Life Insurance,3.9,(7.6k),"Job Security, Salary & Benefits, Skill Development / Learning",,Insurance | Mumbai +505 other locations
JPMorgan Chase & Co.,3.8,(7.6k),Job Security,Promotions / Appraisal,Financial Services | Bangalore / Bengaluru +55 other locations
JSW Steel,3.9,(7.6k),"Job Security, Skill Development / Learning",Promotions / Appraisal,Iron & Steel | Ballari +193 other locations
HGS,3.7,(7.5k),Job Security,"Promotions / Appraisal, Salary & Benefits",BPO | Bangalore / Bengaluru +121 other locations
Jana Small Finance Bank,3.8,(7.5k),Salary & Benefits,Promotions / Appraisal,Banking | Bangalore / Bengaluru +417 other locations
Hexaware Technologies,3.4,(7.4k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Chennai +69 other locations
Sun Pharmaceutical Industries,4.1,(7.4k),"Salary & Benefits, Job Security, Skill Development / Learning",,Pharma | Vadodara +263 other locations
Ujjivan Small Finance Bank,4.0,(7.4k),"Company Culture, Work Life Balance, Job Security",,Banking | Bangalore / Bengaluru +533 other locations
Amazon Development Centre India,3.8,(7.4k),"Company Culture, Work Life Balance",Promotions / Appraisal,Internet | Hyderabad / Secunderabad +146 other locations
Lupin,4.1,(7.2k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Pharma | Pune +203 other locations
L&T Construction,4.0,(7.2k),"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Engineering & Construction | Chennai +432 other locations
Ekart Logistics,3.9,(7.2k),Skill Development / Learning,Promotions / Appraisal,Logistics | Bangalore / Bengaluru +741 other locations
Zydus Lifesciences,3.9,(7.2k),"Salary & Benefits, Skill Development / Learning",,Pharma | Ahmedabad +177 other locations
Hindustan Unilever,4.2,(7.1k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,FMCG | Mumbai +536 other locations
KPMG India,3.4,(7k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,Management Consulting | Bangalore / Bengaluru +112 other locations
ITC,3.9,(7k),"Job Security, Skill Development / Learning",Promotions / Appraisal,FMCG | Bangalore / Bengaluru +377 other locations
Axis Max Life Insurance,4.0,(7k),"Skill Development / Learning, Company Culture, Work Life Balance",,Insurance | New Delhi +498 other locations
Megha Engineering & Infrastructures,3.9,(6.8k),Promotions / Appraisal,,Engineering & Construction | Hyderabad / Secunderabad +406 other locations
Tata Projects,4.2,(6.7k),"Salary & Benefits, Company Culture, Work Life Balance",,Engineering & Construction | Mumbai +286 other locations
Coforge,3.3,(6.6k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,IT Services & Consulting | Noida +103 other locations
Bajaj Life Insurance,3.9,(6.4k),Salary & Benefits,,Insurance | Pune +610 other locations
FIS,3.8,(6.4k),"Work Life Balance, Company Culture",Promotions / Appraisal,FinTech | Pune +60 other locations
L&T Technology Services,3.1,(6.4k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Bangalore / Bengaluru +93 other locations
Cholamandalam Investment & Finance,3.8,(6.4k),Salary & Benefits,Promotions / Appraisal,Financial Services | Chennai +844 other locations
Oracle,3.5,(6.2k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Software Product | Bangalore / Bengaluru +56 other locations
IIFL Finance,4.0,(6.2k),"Work Life Balance, Company Culture, Job Security",,NBFC | Mumbai +801 other locations
Muthoot Finance,3.7,(6.2k),"Promotions / Appraisal, Work Satisfaction",,NBFC | Bangalore / Bengaluru +784 other locations
Indian Army,4.7,(6.2k),"Job Security, Company Culture, Work Life Balance",,Defence & Aerospace | New Delhi +363 other locations
Omega Healthcare,3.8,(6.2k),"Promotions / Appraisal, Salary & Benefits",,BPO | Chennai +69 other locations
JLL,4.1,(6.2k),"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Real Estate | Gurgaon / Gurugram +84 other locations
eClerx,3.1,(6.1k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Pune +32 other locations
HCL Group,3.5,(6.1k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Chennai +97 other locations
